Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"BILSTON.   The Chartists here are determined to have a public meeting, lecture, and festival, on the afternoon and evening of Monday the 1st of March. Tickets to the festival, 1s. each, may be had at the following places: Mr. Jones, Wolverhampton-street; Mr. Stiran, Green-croft; Mr. Salt, Crown-street; Mr. Mogg s Coffee-House, Snow-hill, Wolverhamp ton.",,Bilston,52.5700229,-2.0822333,7,Northern Star,06/03/1841,Meeting,,,08/03/1841
"MILNROW.   Mr. J. Leech, of Manchester, will lecture to-morrow evening, at half-past six o'clock, in the Charter Association Room.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"LEICESTER.   Mr. Cooper, editor of the Illuminator, will deliver a lecture, in the Room at All Saints' Open, next Monday night, on Our   Glo rious  Constitution. It is intended to hold the Tea meeting in the New Hall, on the 22nd inst., as be fore arranged.",,Leicester,52.6367811,-1.1312289,7,Northern Star,13/03/1841,Meeting,,,15/03/1841
"WARRINGTON.   A great number of the mem bers of the National Charter Association, having signed the teetotal pledge, it has been resolved that the subject for discussion, on Sunday evening next, (to-morrow,) shall be  the propriety of forming & Teetotal Chartist Society. ",,Warrington,53.40180345,-2.568036973,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"MANCHESTER.   The South Lancashire Dele gate Meeting will be held to-morrow week, in the Brown-street room, East Manchester, at which, it is hoped, a delegate will be present from every town and village in Lancashire.",,Manchester,53.4791466,-2.2447445,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"MACCLESFIELD.   On Sunday next, Mr. West will deliver a lecture in the large room, at the Bun dle of Sticks, Water Courts.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"NORTHAMPTON.  Mr. H. Vincent pays a visit to this town on Monday next, March 15th, when a public tea party, to welcome him, will be held in the Peacock Assembly-room. Mr. Vincent will deliver a course of three lectures in the above place, on the evenings of the 16th, 17th, and 18th.",,Northampton,52.2385239,-0.902493,7,Northern Star,13/03/1841,Meeting,,,15/03/1841
"OLDHAM.  On Sunday next, Mr. William Tilman, of Manchester, will deliver two lectures in the National Charter Association-room, Greaves- street, Oldham.",,Oldham,53.5415797,-2.1147831,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"TROWBRIDGE.   On Sunday evening next, to morrow, a sermon will be preached at the Democratic Chapel, Conigree, Trowbridge, by J. Rawlings, upon the death of our late friend, John Clay ton. Service to commence at six o clock, when a collection will be made for the support of his widow and fatherless children.",,Trowbridge,51.3191947,-2.2040788,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"BRADFORD.   PUBLIC MEETING, TEA PARTY AND BALL.  At the meeting of the Committee ap pointed for carrying out the above object, on Sun day last, it was unanimously agreed that the public meeting should commence at twelve o'clock at noon, on Monday the 15th inst., in front of the Odd Fel lows' Hall, Thornton Road, and that tea should be on the table at six o'clock in the evening of the same day, in the Social Institution, Hall Ings. The tickets for the tea party and ball .are Is. each, and may be had of the following individuals: Mr Wm. Gouldsborough, Goodmansend ; Mr. Ellis, ditto ; Mr. Carrodus, North Tavern, Wapping; Mr. C. Wilkinson, News Agent, Tyrrell-street; Mr Henry Hodgson, News Agent, Queen-street; Mr Burnett, Reform-street; and Mr. Hopper, Hope- street. An early application is necessary, as the tickets are limited to 400.",,Bradford,53.7941567,-1.7494778,7,Northern Star,13/03/1841,Meeting,,,15/03/1841
"FUNERAL SERMONS.  We understand that Chartist sermon will be preached on Sunday next, in accord ance with the resolution passed at the West Riding Council meeting. At Manningham, in the after noon, to commence at two o'clock ; in the evening, at the Chapel, Long Croft Place, Bradford. Col lections will be made at the close of each sermon, for the purpose of assisting to defray the expences of removing the remains of the Chartist martyr, Clay ton, from Northallerton to Sheffield.",,Bradford,53.7941567,-1.7494778,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"HUDDERSFIELD.  On Sunday next, two ser mons will be preached at the Primitive Methodist Chapel, Upperhead Row, by Mr. Rushton, of Hali fax, and Mr. Joshua Newsome, of Lower Houses, on behalf of the wife and family of the victimised poor Clayton. It is to be hoped that the Chartists of this neighbourhood will be at their posts, and contribute to the disconsolate widow and orphans. The service is to commence at half-past two o'clock in the afternoon, and six in the evening.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,13/03/1841,Meeting,,,14/03/1841
"LOUGHBOROUGH.   A public meeting of the inhabitants of Loughborough will be holden at the Charter Hotel, on Monday evening, to adopt a petition, and nominate a delegate to the Charter and Petition Convention,",,Loughborough,52.7723859,-1.2077985,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"MARYLEBONE.   A funeral sermon for Clayton will be preached tomorrow afternoon, in the Sherbourne Road, near the terminus of the Great Western Railway.",,Marylebone,51.518421,-0.1479115,7,Northern Star,20/03/1841,Meeting,,,21/03/1841
"KIDDERMINSTER.   A public meeting of the inhabitants of Kidderminster is called for Monday night next, the 22nd, in order to assist in carrying out the plan laid down in the Star of the 13th inst., by Mr. Feargus O Connor. It is hoped that the meeting will be a numerous one, as the object will be so beneficial. The chair will be taken at eight o clock, when all the Chartists of Kidderminster should be at, their posts, and aid, as far as in their power lies, to carry out this most excellent plan of our worthy friend, Feargus O Connor.",,Kidderminster,52.3882184,-2.2454625,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"NORTH LONDON.   Next Monday evening a lecture will be delivered on the statistics of the newspaper press of the united kingdom, at the Star Coffee House, Islington Green.",,North London,51.533333,-0.166667,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"STAPLEFORD, (NEAR NOTTINGHAM).   Mr. Bairstow lectures on Monday in the Democratic Chapel.",,"Stapleford, (near Nottingham)",52.9282651,-1.2719255,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"SUNDERLAND.   Mr. Binns lectures at the Life-boat House, at half-past twelve to-morrow afternoon, in the evening, Messrs. Decgan, Binns, and Williams will address the Chartists of Sunder land, in the Corporation-hall, on the proposed Con vention, and other matters relating to this cause.",,Sunderland,54.9063791,-1.375053,7,Northern Star,20/03/1841,Meeting,,,21/03/1841
"HUDDERSFIELD.   On Monday evening, a public meeting of the inhabitants of Huddersfield, will be holden in the Chartist-room, Upperhead-Row, to elect a delegate to the Charter and Petitions Con-vention.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"CHELSEA.   Mr. Wall lectures to-morrow evening, at the large room over the United Tem perance Coffee House, South George Street, Sloane Square, on the principles of the Charter. Lectures will be delivered in the same room on Sunday, March 28th, by Mr. T.M. Wheeler, and on Sunday, April 5th, by Mr. Peat, at seven each evening.",,Chelsea,51.4854247,-0.1654788,7,Northern Star,20/03/1841,Meeting,,,21/03/1841
"HEBDEN BRIDGE.   A public meeting of the inhabitants of Hebden Bridge, is to be holden on Monday the 22nd, to adopt the plan recommended by Feargus O Connor, in the last number of the Star, to get up petitions for the free pardon of Frost, Williams, and Jones, and all those persons who are now suffering in the different hells under Whig domination, and to raise subscriptions towards de fraying the expences of a delegate being sent to London to present the same.  Signed THOMAS MITCHELL.",,Hebden Bridge,53.7407227,-2.0093753,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"MANCHESTER.   A delegate to the Political Prisoner s Restoration and Charter Petition s Con vention will be put in nomination on Monday evening, at the Carpenter s Hall, Manchester, and a public meeting to elect the said delegate will be holden in the Tib-street Room, on Tuesday, the 23rd instant.",,Manchester,53.4791466,-2.2447445,7,Northern Star,20/03/1841,Meeting,,,22/03/1841
"LEEDS.   A public meeting of the inhabitants of Leeds will be held on Monday evening, at eight o clock, for carrying out the plan recommended by O Connor, and to get up petitions for the free pardon of all the incarcerated Chartists; likewise to nominate a fit per son to act as one of the Executive. All true friends to the Charter are requested to attend.",,Leeds,53.7974185,-1.5437941,7,Northern Star,27/03/1841,Meeting,,,29/03/1841
"LONDON.   Two sermons, one next Sunday, by Mr. James Savage, for Mrs. Clayton; and one, the Sunday following, by Mr. Boggis, being a charity sermon for the political victims, will be preached in the Westbourn Road, near the entrance to the Great Western Railway.",,London,51.5073219,-0.1276474,7,Northern Star,27/03/1841,Meeting,,,28/03/1841
"BERMONDSEY.   The members of the National Char ter Association, in this locality, will meet on Wednesday evening, when fresh regulations will be submitted to their consideration.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,27/03/1841,Meeting,,,31/03/1841
"BIRMINGHAM  DELEGATE  MEETING.   Circulars have been addressed to the various towns in this dis trict, giving notice of a meeting of delegates, to be held at the Chartist Meeting Room, Freemason-street, on Sunday next, for the purpose of making arrange ments for the attendance of Mr. Wm, Martin and Mr. Wm. Taylor, the lecturers for the district; a good attendance is expected; after which there is little doubt of this district   going a-head. ",,Birmingham Delegate Meeting,52.4813679,-1.8980726,7,Northern Star,27/03/1841,Meeting,,,28/03/1841
"PROPOSED MEETING AT HOLLOWAY HEAD.   The town has been placarded with green bills, calling A meeting at Holloway Head, for Monday next at half past twelve o clock, for the purpose of petitioning Par liament for the release of all Chartist prisoners; it also states that Mr. Wm. Martin, late of Northallarton House of Correction, Mr. Taylor, Chartist lecturer, and Mr. George White, would address the meeting.",,Proposed Meeting At Holloway Head,,,7,Northern Star,27/03/1841,Meeting,,,29/03/1841
"SUNDERLAND.   On-Sunday afternoon, Mr. Williams will lecture at the Life Boat House; add on Sunday evening, Mr. Deegan, at the Co-operative Hall.",,Sunderland,54.9063791,-1.375053,7,Northern Star,27/03/1841,Meeting,,,28/03/1841
"ON MONDAY EVENING, a meeting will be held in the Co-operative Hall, Sunderland, to form a Teetotal Charter Association.",,"On Monday Evening, A Meeting Will Be Held In The Co-operative Hall, Sunderland, To Form A Teetotal Charter Association",54.9063791,-1.375053,7,Northern Star,27/03/1841,Meeting,,,29/03/1841
"DURHAM.   On Monday evening, Mr. Deegan, or Mr. Williams, will address the Chartists of this city at Mr. Bradford s.",,Durham,54.7764152,-1.5758539,7,Northern Star,27/03/1841,Meeting,,,29/03/1841
"BRADFORD.   THE RURAL POLICE. The rate payers of Horton are about to hold a public meeting for the purpose of memorialising the West-Riding Magistrates, while assembled at Wakefield, to consider of the mode of introducing the Rural Police, that they may deem it meet not to introduce that force into the Riding in any shape whatever. The meeting, which is called conjointly by Whigs, Tories, and Radicals, is, we hear, to take place on Tuesday next, in the Bell Chapel School Room, at four o clock in the afternoon. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,27/03/1841,Meeting,,,30/03/1841
"LEICESTER.   On Monday noon, at one o clock, there will be a public meeting to consider the propriety of nominating a delegate to the   Prisoners  Petition, &e. Convention. ",,Leicester,52.6367811,-1.1312289,7,Northern Star,27/03/1841,Meeting,,,29/03/1841
"BARNSLEY.   The Rev. Wm, Hill will preach a ser mon for Clayton, in the Odd Fellows' Hall, to-morrow evening.",,Barnsley,53.5527719,-1.4827755,7,Northern Star,27/03/1841,Meeting,,,28/03/1841
"NEWCASTLE.   A public meeting of the inhabitants of Newcastle and Gateshead will be holden in the Joiners  Hall, on Tuesday evening, the 30th of March, to adopt the National Petition, and to elect a delegate to the Convention. God save the people.
",,Newcastle,54.9770924,-1.6142059,7,Northern Star,27/03/1841,Meeting,,,30/03/1841
"DEVON AND CORNWALL.   A delegate meeting for the counties of Devon and Cornwall, will be held at Totness on Sunday week next, the 11th of April, 1841, at the house of Mr. T. Holman, New Inn, Bridge Town, Totness, at twelve o clock, at which hour all the delegates are requested to attend. Each delegate to bring his credentials with him, in order to certify that he was duly elected, at a public meeting, as a delegate for the place wherein he might reside. The meeting is for the purpose of organising these two counties, also to raise a fund for the purpose of procuring a lecturer for the two counties. Those places in Devon and Cornwall who do not intend to send a delegate, will send a letter directed to the above place; also that each delegate of the various towns will, at the meeting, be prepared to state accurately what sum each place can raise toward the support of the lecturer.",,Devon And Cornwall,50.3475292,-4.2175662,7,Northern Star,03/04/1841,Meeting,,,04/04/1841
REDRUTH.   Mr. E.P. Mead preaches twice to-morrow here.,,Redruth,50.233989,-5.2276468,7,Northern Star,03/04/1841,Meeting,,,04/04/1841
BERMONDSEY.   A special meeting is to be held at the Star Coffee House on Monday evening.,,Bermondsey,51.5017679,-0.0697911,7,Northern Star,03/04/1841,Meeting,,,05/04/1841
MACCLESFIELD.   Mr. West lectures here to-night on the evils of hereditary legislation ; and to-morrow even ing on the evils of a standing army.,,Macclesfield,53.2606635,-2.1255158,7,Northern Star,03/04/1841,Meeting,,,04/04/1841
"CHELSEA.   Mr. Peat lectures at the United Tem perance Coffee House, Lower George s-street, Sloane Square, to-morrow evening, on taxation.",,Chelsea,51.4854247,-0.1654788,7,Northern Star,03/04/1841,Meeting,,,04/04/1841
"GOODMANSEND.   A meeting will be held this evening, (Saturday) at the house of Mr. Goldsbrough, to receive contributions and enrol names. Books open at half-past eight*
HULL.  The Rev. Wm, Hill preaches to-morrow evening, on behalf of the General Victim Fund, in the Freemason s Lodge, Hull, Service to commence at half-past six.",,Goodmansend,53.7931209,-1.7531834,7,Northern Star,03/04/1841,Meeting,,,04/04/1841
"WEST-RIDING.   Mr. Arran will lecture at the following places : Bradford, on Saturday (this day), April l0th; Halifax, on Sunday, the 11th, at six o clock in the evening ; Heckmondwike, on Monday, the 12th ; Huddersfield, on Tuesday, the 13th ; Lep ton, on Wednesday, the 14th ; Honley, on Thursday, the 15th ; Sowerby, on Friday, the I6ch ; and at Illingworth, on Saturday, the 17th. Also at Queens- head, on Monday, the 19ch ; and Keighley, on Friday, the 20th. The West-Riding Delegate Meeting will be held on Sunday, April 18th, in the large room over the Co-operative Stores, Dewsbury, at which it is hoped a delegate will be present from every town in the Riding.",,West-riding,53.75,-1.666667,7,Northern Star,10/04/1841,Meeting,,,17/04/1841
"WANDSWORTH.   A lecture on Universal Suffrage will be delivered here next Monday week, by Mr. Benjamin Huggett.",,Wandsworth,51.4570271,-0.1932607,7,Northern Star,10/04/1841,Meeting,,,12/04/1841
"BERMONDSEY.   On Tuesday evening next, at the opening of the room, a lecture will be delivered on the principles of the Charter, when we shall be happy to have the attendance of our members and friends.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,10/04/1841,Meeting,,,13/04/1841
"OLDHAM.   On Sunday (to-morrow) Mr. J. Greaves, of Austerlands, will lecture in the afternoon, and Mr. J. Leach, of Manchester, in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,10/04/1841,Meeting,,,11/04/1841
"STAPLEFORD, NEAR NOTTINGHAM.   Mr. Dorman will preach in the Democratic Chapel, on Sunday next (to-morrow).",,"Stapleford, Near Nottingham",52.9282651,-1.2719255,7,Northern Star,10/04/1841,Meeting,,,11/04/1841
"LEICESTER.   Mr. Cooper, editor of the Illuminator, to preach in the room at All Saints Open, tomorrow (Sunday) evening ; and a tea meeting for the discussion of plans and prospects, teetotalism, library, a music class, a clothing club, &c., is to take place on the following (Easter Monday) after-noon.",,Leicester,52.6367811,-1.1312289,7,Northern Star,10/04/1841,Meeting,,,11/04/1841
"SHEFFIELD.   The young men s Mutual Instruc tion Society intend holding a Ball, in the room, situated in Porter-street, on Easter Monday ; the profits will be expended in spreading Chartist principles.
",,Sheffield,53.3806626,-1.4702278,7,Northern Star,10/04/1841,Meeting,,,12/04/1841
"COVENTRY.   Mr. Martin will attend at Coventry on Monday next, the 18th of April, and visit other towns in due order.",,Coventry,52.4145039,-1.518763323,7,Northern Star,17/04/1841,Meeting,,,19/04/1841
"WATERLOO TOWN.   On Sunday next, Mr. Wall will lecture at the Bricklayers  Arms, Cheshire-street, Waterloo Town, on the funding system, to commence at seven o clock.",,Waterloo Town,51.4927107,-0.2661061,7,Northern Star,17/04/1841,Meeting,,,18/04/1841
"EAST LONDON DEMOCRATIC ASSOCIATION.   Mr. Edward Pickersgill gave notice of motion for next Sunday evening's discussion, on   the best and easiest means of obtaining the People s Charter. ",,East London Democratic Association,51.5166,-0.075,7,Northern Star,17/04/1841,Meeting,,,18/04/1841
"SUNDERLAND.   On Sunday afternoon, Mr. Binns will lecture at the Life-boat House; and, in the even ing, Mr. Williams in the Co-operative Hall.",,Sunderland,54.9063791,-1.375053,7,Northern Star,17/04/1841,Meeting,,,18/04/1841
"DURHAM.   Mr. Deegan will lecture here on Monday evening, at Mr. Bradford s.",,Durham,54.7764152,-1.5758539,7,Northern Star,17/04/1841,Meeting,,,19/04/1841
"SOWERBY.  Mr. John Arran, the West-Riding Lecturer, will deliver a lecture in the Council-room, Sowerby, on Sunday week, at ten o clock in the morn ing, also at six o clock in the evening.",,Sowerby,53.7055036,-1.9324388,7,Northern Star,17/04/1841,Meeting,,,18/04/1841
"STROUDWATER.   Public meetings are to beholden in the Chartist-room, lately the Renter s Chapel, at half-past six in the evening of Saturday the 24th inst.,, to petition Parliament for the release of political prisoners, and to elect a Delegate to the Petition Conven tion, Mr. Vincent lectures on the 25th.",,Stroudwater,43.6561928,-70.3147715,7,Northern Star,17/04/1841,Meeting,,,24/04/1841
SALFORD. - Mr. Bell will lecture on Sunday even ing next.,,Salford,53.4877463,-2.2891921,7,Northern Star,24/04/1841,Meeting,,,25/04/1841
"SUNDERLAND.   On Sunday afternoon, at half-past two, Mr. Williams will lecture at the Life-boat House, Sunderland, and Mr. Binns, in the Co-ope rative Hall, in the evening at half-past six o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,24/04/1841,Meeting,,,25/04/1841
"LOUGHBOROUGH.   Mr. Cooper, the Editor of the Illuminator, is to address the friends of freedom, at the Charter Hotel Room, at half-past seven o clock, on Tuesday evening, the 27th.
The General Council will meet on the 25th, at the Association Room, at six o clock, when the attendance of all is requested.",,Loughborough,52.7723859,-1.2077985,7,Northern Star,24/04/1841,Meeting,,,27/04/1841
"ST. PANCRAS.   On Sunday evening next, at eight- o clock, H, B. Marley will close the discussion on the Corn Laws, and reply to those individuals who have taken part in the discussion, at the Goat in Boots, Brook-street, New Road.",,St Pancras,51.526607,-0.1408867,7,Northern Star,24/04/1841,Meeting,,,25/04/1841
"MACCLESFIELD.   A public meeting of the sub scribers to, and readers of, the Northern Starr will be held in the Large Room of the Association, Watercotes, on Monday, the 26th instant, at eight o clock, on business connected with the Petition Convention, when all are Requested to attend. On Sunday evening next, a lecture will be delivered by Mr- Joseph Hibbert, in the above room.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,24/04/1841,Meeting,,,25/04/1841
CONGLETON.   A delegate meeting will be held in Congleton on Sunday next. Delegates from all towns in Cheshire and the Potteries will be expected attend.,,Congleton,53.1631463,-2.2110691,7,Northern Star,24/04/1841,Meeting,,,25/04/1841
"MANNINGHAM AND BRADFORD MOOR.   Mr. Arran will preach at Manningham on Sunday afternoon next, May 2nd, at two o clock ; and lecture at six o clock in the evening, at Bradford Moor.",,Manningham And Bradford Moor,53.805,-1.764,7,Northern Star,01/05/1841,Meeting,,,02/05/1841
"ROCHDALE.   Mr. Campbell will lecture next Sunday in Rochdale : so if the Milnrow and Rochdale Chartists can arrange it so, he will lecture at one place at two or hall-past two o clock, and at the other in the evening.",,Rochdale,53.6153659,-2.1557561,7,Northern Star,01/05/1841,Meeting,,,02/05/1841
SALFORD.   Mr. Doyle-will lecture in Salford on next Sunday evening.	,,Salford,53.4877463,-2.2891921,7,Northern Star,01/05/1841,Meeting,,,02/05/1841
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House on Sunday afternoon, at half-past two o'clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,01/05/1841,Meeting,,,02/05/1841
"MOTTRAM.   The Council beg leave to state that their room is open every Thursday night, from eight till ten o clock ; and on Sundays, from two till five o clock ; for the transaction of business and the enrolment of members.",,Mottram,53.4576897,-2.0143757,7,Northern Star,01/05/1841,Meeting,,,06/05/1841
"LAMBETH.   A meeting of the subscribers to the meeting-place, Lambeth, will be held, on business of importance, on Tuesday evening next and all members, likewise, are requested to attend.",,Lambeth,51.5013012,-0.117287,7,Northern Star,01/05/1841,Meeting,,,04/05/1841
"HALIFAX.   A discussion will take place in the Odd Fellows  Hall, Halifax, on the question of a Repeal of the Corn Laws, on Saturday and Monday, the 8th and 10th of May. The chair to be taken precisely at six o clock in the evening on Saturday, and eight o clock in the evening on Monday. Mr. Leech, from Manchester, will attend.",,Halifax,53.725,-1.863,7,Northern Star,01/05/1841,Meeting,,,08/05/1841
"MERTHYR TYDVIL (Glamorganshire).   A discussion will take place at the Working Men s Association Room, on Sunday evening, May 2nd. The question to be discussed    Is it the duty of every person to join the National Charter Association of Great Britain ? ",,Merthyr Tydvil (glamorganshire),51.742892,-3.378049,7,Northern Star,01/05/1841,Meeting,,,02/05/1841
"STALYBRIDGE.   A public meeting of the Chartists will be held in the King-street Chapel, on Monday next, to petition on behalf of the incarcerated victims.
",,Stalybridge,53.4840214,-2.0562536,7,Northern Star,01/05/1841,Meeting,,,03/05/1841
"OLDHAM.   Mr. Butterworth will lecture in Greave-street room, on Sunday next, in the afternoon and at night.",,Oldham,53.5415797,-2.1147831,7,Northern Star,08/05/1841,Meeting,,,09/05/1841
"CLAYTON.   Mr. Arran will lecture at Clayton on Monday evening, May the 10th, at half-past seven o clock.",,Clayton,53.7792,-2.388444,7,Northern Star,08/05/1841,Meeting,,,10/05/1841
"LEEDS.   At a meeting of the Chartist Association Committee, held on Tuesday evening last, it was unanimously resolved,   That a tea should be provided for the Chartists and their friends, on Whit Monday, in the Association-room, Fish Market; the proceeds of which to be given to Mr. O Brien s Fund. Tickets 1s. each, may be had at Mr. Illingworth s, Vicar-lane.",,Leeds,53.7974185,-1.5437941,7,Northern Star,08/05/1841,Meeting,,,11/05/1841
"BURY.   Mr. Butterworth, of Manchester, will lecture in Bury, on Monday evening next, at eight o clock, H is hoped the good Chartists of Bury will make a strong muster to hear that indefatigable patriot and real advocate of the rights of labour.",,Bury,52.2460367,0.7125173,7,Northern Star,08/05/1841,Meeting,,,10/05/1841
"BIRMINGHAM.   Mr. Isaac Barrow will, on Sunday evening next, deliver a lecture to the Chartists, at their room in Oxford-street.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,08/05/1841,Meeting,,,09/05/1841
"NEWPORT, WALES.   Mr. Black will preach a sermon here on Sunday evening, at six o clock, for the benefit of Mrs. Morgan, of Tredegar, whose husband was shot at Newport.",,"Newport, Wales",51.5882332,-2.9974967,7,Northern Star,08/05/1841,Meeting,,,09/05/1841
"LONDON.   Chartists of London ! do your duty, by attending the Repeal meeting on Sunday evening, May 9th, at seven o clock, at Mr. Roche s, Red Lion, Maze, Tooley-street. Shew your Irish brethren you are their real friends, not their enemies, as Mr, O Connell wishes them to believe. By so doing, you will please a Chartist of twenty years  standing.
",,London,51.5073219,-0.1276474,7,Northern Star,08/05/1841,Meeting,,,09/05/1841
"ACCRINGTON.   Mr. George Julian Harney will lecture here, at the Wheat Sheaf, bottom of the Abbey-street, on Wednesday evening, May 26th, at half-past seven.",,Accrington,53.7541156,-2.3655434,7,Northern Star,22/05/1841,Meeting,,,26/05/1841
"BOLTON.   Mr. Leech will lecture in the Oxford-street-room, on Sunday evening next.",,Bolton,53.577694,-2.4288874,7,Northern Star,22/05/1841,Meeting,,,23/05/1841
"ASHTON-UNDER-LYNE. - An important meeting is to be holden in the Chartist room, on Sunday evening, at six o clock.",,Ashton-under-lyne,53.4854941,-2.1120849,7,Northern Star,22/05/1841,Meeting,,,23/05/1841
"HECKMONDWIKE. -	Mr. Clisset will preach a sermon in Heckmondwike Market-place, on Sunday morning, June the 13th, on "" the compassion of the Saviour towards the physical wants of the people. ",,Heckmondwike,53.7074371,-1.6754499,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
"FINSBURY.   On Monday evening, the 14th inst., the Finsbury Chartists will meet at Lunt s Coffee House, for the purpose of reorganising new class leaders for the Finsbury district, and earnestly solicit the co-operation of all friends to the cause of democracy.	",,Finsbury,51.5265742,-0.1070713,7,Northern Star,12/06/1841,Meeting,,,14/06/1841
"OLDHAM. - Mr. Bell, from Manchester, lectures here tomorrow afternoon and evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
"GATESHEAD.   A public meeting is to be held at the top of Oakwell Gate, on Wednesday evening, for the purpose of nominating a candidate to represent this borough in the ensuing Parliament. Messrs Mason, Cook, and others are expected. It is hoped the meeting will be well attended.",,Gateshead,54.9585535,-1.6057003,7,Northern Star,12/06/1841,Meeting,,,16/06/1841
"LONDON.   On Sunday evening next, June the 13th, Mr, Richard Spurr will open the following question for discussion, at the Chartist Koom, 55, Old Bailey,   the present position of the Chartist body, and the best tactics to be adopted for the advancement of our cause at the forthcoming elections ; when it is hoped every one feeling interested in the success of our glorious Charter will attend.",,London,51.5073219,-0.1276474,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
SUNDERLAND.   On Sunday afternoon Mr. Williams will lecture at the Life Boat House ; in the evening he will lecture in the Golden Lion room.,,Sunderland,54.9063791,-1.375053,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
"BISHOP AUCKLAND.   On Sunday afternoon, at two o clock, June the 20th, Mr. Williams will lecture at Bishop Auckland Batts, and on the following evening on West Auckland Green.",,Bishop Auckland,54.6640762,-1.6752864,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
"DEPTFORD.   Mr. Edmund Stallwood will lecture on Sunday evening next, June the 13th, in the Democratic Academy, Deptford, Kent, on the Charter, as a remedy for our political disease, its practicability, means of obtainment, etc.",,Deptford,51.4758453,-0.0215164,7,Northern Star,12/06/1841,Meeting,,,13/06/1841
"HUDDERSFIELD.   On Tuesday evening next a public meeting will be held in the Association Room, w to take into consideration the bloody and unwarrantable conduct of the anti-Corn Law party, aided by Dan s party. ",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,12/06/1841,Meeting,,,15/06/1841
"WILWICK.   On Monday next, if the weather-permit, Mr. Skevington will address the men of Wilwick at one o clock at noon ; and the men of Sheepshoad at six o clock, p.m.",,Wilwick,53.257632,-2.1541768,7,Northern Star,19/06/1841,Meeting,,,21/06/1841
DARLASTON.   Mr. Candy lectures here on Monday evening.,,Darlaston,52.5733189,-2.0355619,7,Northern Star,26/06/1841,Meeting,,,28/06/1841
WEDNESBURY.   Mr. Candy lectures in the Market Place on Tuesday evening.,,Wednesbury,52.5521806,-2.0224441,7,Northern Star,26/06/1841,Meeting,,,29/06/1841
WOLVERHAMPTON.   Mr. Candy lectures here on Wednesday eveniag.,,Wolverhampton,52.59078695,-2.13056539,7,Northern Star,26/06/1841,Meeting,,,30/06/1841
"BILSTON.   Mr. Candy lectures in the Ball Court, on Thursday evening.",,Bilston,52.5700229,-2.0822333,7,Northern Star,26/06/1841,Meeting,,,01/07/1841
"BLACKBURN.   Mr. Campbell, secretary to the executive will visit Blackburn, on Friday evening the 2nd of July, to lecture and establish an association. He wishes some person to meet him at the railway station.",,Blackburn,53.7497193,-2.4797543,7,Northern Star,26/06/1841,Meeting,,,02/07/1841
PRESTON.   Mr. CampbeIl will address the Chartists at Preston on Saturday evening.,,Preston,53.7589938,-2.7051618,7,Northern Star,26/06/1841,Meeting,,,03/07/1841
"BURY.   A discussion on Corn Law repeal is to come off here on Monday evening, between Mr. Bell, of Salford, and a Mr. Kempster, a Corn Law repealer.",,Bury,52.2460367,0.7125173,7,Northern Star,26/06/1841,Meeting,,,28/06/1841
