Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"DERBYSHIRE.   Mr. Bairstow s route for the ensuing week ; he will lecture at the following places, at seven o clock each evening:  at Belper, on Monday, October the llth; Alfreton, on the 12th; Swanwick, on the 13th; Holbrook on the 14th; Duffield, on the 15th; Millford, on the 16th, and will preach iu the Balper Market-place, at half-past two o clock on Sunday afternoon.",,Derbyshire,53.1185033,-1.556617831,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"MARYLEBONE.   Mr. W. J. Osborne will lecture on Sunday next, Oct. 10th, at the Working Men s Hall, Circus-street, at half-past seven o'clock in the evening.",,Marylebone,51.518421,-0.1479115,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"RIPPONDEN.   Mr. Joseph Newsome and Mr. Joseph Bray, will be at Ripponden, on Sunday next, the 10th, and will lecture in the morning at ten, and in the afternoon at two o'clock, in the Association-room.",,Ripponden,53.6730117,-1.9425533,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"TOWER HAMLETS.   A public meeting of the Chartists of this locality, will be held on Sunday evening next, Oct. 10th, at half-past seven o clock, at the Carpenters Arms, 171 Brick lane, to take into consideration tho propriety of changing their place of meeting, their present meeting room being much too small.",,Tower Hamlets,51.516667,-0.05,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"LONDON.   On Sunday evening next there will be a meeting at 55, Old Bailey, to adopt the best means of getting up a festival for the benefit of Mr. Carrier. All who admire the principle of this much suffering man are invited to attend.",,London,51.5073219,-0.1276474,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"HUNSLET.   Mr. Stansfield, of Armley, will preach in the Chartist Association Room, Hunslet, on Sunday evening, at six o clock.",,Hunslet,53.7834388,-1.5359315,7,Northern Star,09/10/1841,Meeting,,,10/10/1841
"MANCHESTER.   Mr. O Brien will deliver two addresses in the Hall of Science, Camp Field, Manchester, on Thursday next, October 10th, one in the ""afternoon at half-past two oclock, and in the evening at half past six.",,Manchester,53.4791466,-2.2447445,7,Northern Star,09/10/1841,Meeting,,,14/10/1841
"HECKMONDWIKE.   On Saturday evening, Oct. 16, a public meeting will be held to petition Parliament for an inquiry into the silent system in the prisons of the United Kingdom, chair to be taken at seven o clock. Mr. T. B. Smith, from Leeds, will attend.",,Heckmondwike,53.7074371,-1.6754499,7,Northern Star,09/10/1841,Meeting,,,16/10/1841
"BIRSTAL.   Mr. Smith will lecture on the benefits of education, and on mutual love, on Tuesday evening, Oct. 19.",,Birstal,53.730819,-1.663461,7,Northern Star,09/10/1841,Meeting,,,12/10/1841
"CHURWELL.   On Wednesday evening, Oct. 20th, Mr. Smith will preach on the advantages of co-operation, after which a public meeting will bo held to petition against the silent system.",,Churwell,53.7613095,-1.5908437,7,Northern Star,09/10/1841,Meeting,,,13/10/1841
"HUNSLET.   On Tuesday evening, Oct. 12, Mr. Smith will lecture on the benefits of Joint Stock Stores, and the best means of establishing them.",,Hunslet,53.7834388,-1.5359315,7,Northern Star,09/10/1841,Meeting,,,12/10/1841
"BASFORD. - The Chartists of this place have determined on a tea party, on Tuesday next, at house of M. Sminton, Hare and Hounds Inn. Tickets for which may be had of the following persons John Hickling, Dobb Park, Edward Toulson, John Brown, William Brown, Parsons Flat.",,Basford,53.0155968,-2.2093825,7,Northern Star,16/10/1841,Meeting,,,19/10/1841
"SHEFFIELD.   Mr. Otley will lecture in the room, Fig Tree-lane, on Sunday evening next, at seven o clock. Subject, "" The wisdom of our ancestors. """,,Sheffield,53.3806626,-1.4702278,7,Northern Star,16/10/1841,Meeting,,,17/10/1841
"HANLEY. - It has been resolved that a ball will take place at the large room, George and Dragon Inn, New-street, Hanley, on Monday evening, Oct. 25th, the proceeds to be appropriated to Chartist purposes. Tickets, 6d. each, may be had of the following persons Joseph Heath's Slack-lane, Hanley ; Jeremiah Yates, Miles Bank, and Moses Simpson, Pall Mall, Shelton.",,Hanley,53.0259916,-2.1753695,7,Northern Star,16/10/1841,Meeting,,,18/10/1841
"	Lecture.   Mr. G. B. Mart, will finish his lecture on the subject of the "" Sins of Church and State"", on Monday evening, in the National Charter Association Room, Hanley.	",,Hanley,53.0259916,-2.1753695,7,Northern Star,16/10/1841,Meeting,,,18/10/1841
