newspaper,date,page,column,img filename,OCR file name,,,
Northern Star,03/09/1842,5,,,09_03_1842_p5_FM.txt,,,
Northern Star,10/09/1842,8,,,09_10_1842_p8_FM.txt,,,
Northern Star,17/09/1842,8,,,09_17_1842_p8_FM.txt,,,
Northern Star,24/09/1842,8,,,09_24_1842_p8_FM.txt,,,
Northern Star,01/10/1842,8,,,10_01_1842_p8_FM.txt,,,
Northern Star,08/10/1842,1,,,10_08_1842_p1_FM.txt,,,
Northern Star,15/10/1842,8,,,10_15_1842_p8_FM.txt,,,
Northern Star,22/10/1842,8,,,10_22_1842_p8_FM.txt,,,
Northern Star,29/10/1842,8,,,10_29_1842_p8_FM.txt,,,
Northern Star,05/11/1842,8,,,11_05_1842_p8_FM.txt,,,
Northern Star,12/11/1842,8,,,11_12_1842_p8_FM.txt,,,done
Northern Star,19/11/1842,8,,,11_19_1842_p8_FM.txt,,,done
Northern Star,26/11/1842,no column?,,,,,,
Northern Star,03/12/1842,no column?,,,,,,
Northern Star,10/12/1842,8,,,12_10_1842_p8_FM.txt,,,
Northern Star,17/12/1842,8,,,12_17_1842_p8_FM.txt,,,
Northern Star,24/12/1842,8,,,12_24_1842_p8_FM.txt,,,
Northern Star,31/12/1842,7,,,12_31_1842_p7_FM.txt,,,
Northern Star,07/01/1842,8,,,01_07_1843_p8_FM.txt,,,
Northern Star,14/01/1843,8,,,01_14_1843_p8_FM.txt,,,
Northern Star,21/01/1843,8,,,01_21_1843_p8_FM.txt,,,
Northern Star,28/01/1843,8,,,01_28_1843_p8_FM.txt,,,
Northern Star,04/02/1843,8,,,02_04_1843_p8_FM.txt,,,
Northern Star,11/02/1843,1,,,02_11_1843_p1_FM.txt,,,
Northern Star,18/02/1843,8,,,02_18_1843_p8_FM.txt,,,
Northern Star,25/02/1843,no column?,,,,,,
Northern Star,04/03/1843,1,,,03_04_1843_p1_FM.txt,,,
Northern Star,11/03/1843,no column?,,,,,,
Northern Star,18/03/1843,4,,,03_18_1843_p4_FM.txt,,,
Northern Star,25/03/1843,1,,,03_25_1843_p1_FM.txt,,,
Northern Star,01/04/1843,no column?,,,,,,
Northern Star,08/04/1843,no column?,,,,,,
Northern Star,15/04/1843,5,,,04_15_1843_p5_FM.txt,,,
Northern Star,22/04/1843,8,,,04_22_1843_p8_FM.txt,,,
Northern Star,29/04/1843,5,,,04_29_1843_p5_FM.txt,,,
Northern Star,06/05/1843,8,,,05_06_1843_p8_FM.txt,,,
Northern Star,13/05/1843,8,,,05_13_1843_p8_FM.txt,,,
Northern Star,20/05/1843,5,,,05_20_1843_p5_FM.txt,,,
Northern Star,27/05/1843,4,,,05_27_1843_p4_FM.txt,,,
Northern Star,03/06/1843,5,,,06_03_1843_p5_FM.txt,,,
Northern Star,10/06/1843,1,,,06_10_1843_p1_FM.txt,,,
Northern Star,17/06/1843,8,,,06_17_1843_p8_FM.txt,,,
Northern Star,24/06/1843,5,,,06_24_1843_p5_FM.txt,,,
Northern Star,01/07/1843,1,,,07_01_1843_p1_FM.txt,,,
Northern Star,08/07/1843,8,,,07_08_1843_p8_FM.txt,,,
Northern Star,15/07/1843,1,,,07_15_1843_p1_FM.txt,,,
Northern Star,22/07/1843,1,,,07_22_1843_p1_FM.txt,,,
Northern Star,29/07/1843,1,,,07_29_1843_p1_FM.txt,,,
Northern Star,05/08/1843,8,,,08_05_1843_p8_FM.txt,,,
Northern Star,12/08/1843,1,,,08_12_1843_p1_FM.txt,,,
Northern Star,19/08/1843,1,,,08_19_1843_p1_FM.txt,,,
Northern Star,26/08/1843,1,,,08_26_1843_p1_FM.txt,,,
Northern Star,02/09/1843,1,,,09_02_1843_p1_FM.txt,,,
Northern Star,09/09/1843,8,,,09_09_1843_p8_FM.txt,,,
Northern Star,16/09/1843,no column?,,,,,,
Northern Star,23/09/1843,1,,,09_23_1843_p1_FM.txt,,,
Northern Star,30/09/1843,1,,,09_30_1843_p1_FM.txt,,,
Northern Star,07/10/1843,1,,,10_07_1843_p1_FM.txt,,,
Northern Star,14/10/1843,1,,,10_14_1843_p1_FM.txt,,,
Northern Star,21/10/1843,5,,,10_21_1843_p5_FM.txt,,,
Northern Star,28/10/1843,no column?,,,,,,
Northern Star,04/11/1843,5,,,11_04_1843_p5_FM.txt,,,
Northern Star,11/11/1843,5,,,11_11_1843_p5_FM.txt,,,
Northern Star,18/11/1843,5,,,11_18_1843_p5_FM.txt,,,
Northern Star,25/11/1843,1,,,11_25_1843_p1_FM.txt,,,
Northern Star,02/12/1843,1,,,12_02_1843_p1_FM.txt,,,
Northern Star,09/12/1843,1,,,12_09_1843_p1_FM.txt,,,
Northern Star,16/12/1843,1,,,12_16_1843_p1_FM.txt,,,
Northern Star,23/12/1843,1,,,12_23_1843_p1_FM.txt,,,
Northern Star,30/12/1843,5,,,12_30_1843_p5_FM.txt,,,
Northern Star,06/01/1844,1,,,01_06_1844_p1_FM.txt,,,
Northern Star,13/01/1844,1,,,01_13_1844_p1_FM.txt,,,
Northern Star,20/01/1844,no column?,,,,,,
Northern Star,27/01/1844,5,,,01_27_1844_p5_FM.txt,,,
Northern Star,03/02/1844,8,,,02_03_1844_p8_FM.txt,,,
Northern Star,10/02/1844,1,,,02_10_1844_p1_FM.txt,,,
Northern Star,17/02/1844,1,,,02_17_1844_p1_FM.txt,,,
Northern Star,24/02/1844,5,,,02_24_1844_p5_FM.txt,,,
Northern Star,02/03/1844,1,,,03_02_1844_p1_FM.txt,,,
Northern Star,09/03/1844,1,,,03_09_1844_p1_FM.txt,,,
Northern Star,16/03/1844,1,,,03_16_1844_p1_FM.txt,,,
Northern Star,23/03/1844,1,,,03_23_1844_p1_FM.txt,,,
Northern Star,30/03/1844,1,,,03_30_1844_p1_FM.txt,,,
Northern Star,06/04/1844,1,,,04_06_1844_p1_FM.txt,,,
Northern Star,13/04/1844,1,,,04_13_1844_p1_FM.txt,,,
Northern Star,20/04/1844,no column?,,,,,,
Northern Star,27/04/1844,1,,,04_27_1844_p1_FM.txt,,,
Northern Star,04/05/1844,1,,,05_04_1844_p1_FM.txt,,,
Northern Star,11/05/1844,1,,,05_11_1844_p1_FM.txt,,,
Northern Star,18/05/1844,1,,,05_18_1844_p1_FM.txt,,,
Northern Star,25/05/1844,1,,,05_25_1844_p1_FM.txt,,,
Northern Star,01/06/1844,1,,,06_01_1844_p1_FM.txt,,,
Northern Star,08/06/1844,1,,,06_08_1844_p1_FM.txt,,to do,
Northern Star,15/06/1844,1,,,06_15_1844_p1_FM.txt,,,
Northern Star,22/06/1844,5,,,06_22_1844_p5_FM.txt,,,
Northern Star,29/06/1844,1,,,06_29_1844_p1_FM.txt,,,
Northern Star,06/07/1844,1,,,07_06_1844_p1_FM.txt,,,
Northern Star,13/07/1844,1,,,07_13_1844_p1_FM.txt,,,
Northern Star,20/07/1844,1,,,07_20_1844_p1_FM.txt,,,
Northern Star,27/07/1844,1,,,07_27_1844_p1_FM.txt,,,
Northern Star,03/08/1844,8,,,08_03_1844_p8_FM.txt,,,
Northern Star,10/08/1844,5,,,08_10_1844_p5_FM.txt,,,
Northern Star,17/08/1844,1,,,08_17_1844_p1_FM.txt,,,
Northern Star,24/08/1844,1,,,08_24_1844_p1_FM.txt,,,
Northern Star,31/08/1844,1,,,08_31_1844_p1_FM.txt,,,
Northern Star,07/09/1844,8,,,09_07_1844_p8_FM.txt,,,
Northern Star,14/09/1844,1,,,09_14_1844_p1_FM.txt,,,
Northern Star,21/09/1844,1,,,09_21_1844_p1_FM.txt,,,
Northern Star,28/09/1844,1,,,09_28_1844_p1_FM.txt,,,
Northern Star,05/10/1844,1,,,10_05_1844_p1_FM.txt,,,
Northern Star,12/10/1844,8,,,10_12_1844_p8_FM.txt,,,
Northern Star,19/10/1844,8,,,10_19_1844_p8_FM.txt,,,
Northern Star,26/10/1844,1,,,10_26_1844_p1_FM.txt,,,
Northern Star,09/11/1844,1,,,11_09_1844_p1_FM.txt,,,
Northern Star,16/11/1844,1,,,11_16_1844_p1_FM.txt,,,
Northern Star,23/11/1844,5,,,11_23_1844_p5_FM.txt,,,
Northern Star,30/11/1844,no column?,,,,,,
Northern Star,07/12/1844,5,,,12_07_1844_p5_FM.txt,,,
Northern Star,14/12/1844,5,,,12_14_1844_p5_FM.txt,,,
Northern Star,21/12/1844,5,,,12_21_1844_p5_FM.txt,,,
Northern Star,28/12/1844,5,,,12_28_1844_p5_FM.txt,,,
